episode,avg_reward,avg_queue,avg_fairness_penalty
1,-40607.793379452945,224.808736892928,401.0318107363112
2,-41146.288001862195,213.89150049851045,364.69274051766064
3,-31123.122720290066,180.44112530664134,232.39733690605976
4,-28699.354914319476,144.2204669771807,185.0796658934072
5,-29105.89248221564,157.9160154116961,225.8337434784155
6,-27792.291612391946,156.6106278210147,279.9857054891838
7,-26293.099383570287,121.141785815101,316.96459876330835
8,-23472.70050504256,143.55255905615275,67.9479769383045
9,-23264.447246485233,139.05007646708634,70.73434122116942
10,-26337.115793754485,157.28332734554957,59.43402016293382
11,-21053.193773257422,128.43461814499545,15.037352867395981
12,-25118.778713549455,146.73386942210914,57.738303060811575
13,-24319.29009651615,165.13742171168565,6.413370222267503
14,-26225.681530831836,180.6841999922234,18.561058255910865
15,-18417.103338268673,108.86595559899956,4.102930849397907
16,-22175.398357439186,168.14570480850358,11.880252359357087
17,-22526.321717260325,154.59861670315675,13.638789339328056
18,-25369.951364818193,154.21486873298736,9.154997761589755
19,-18677.83230249464,111.35419838958762,18.46719773011054
20,-34346.79978124435,248.21129965783837,16.52774163921123
